"filename", "language", "C++", "comment", "blank", "total"
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\Component\Component.h", "C++", 1, 0, 0, 1
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\Component\InputHandler.h", "C++", 41, 0, 7, 48
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\Component\Rigidbody.h", "C++", 3, 0, 0, 3
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\GameObject\GameObject.h", "C++", 6, 0, 2, 8
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Core\Scene\Scene.h", "C++", 80, 2, 14, 96
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Math\Shape.h", "C++", 2, 0, 1, 3
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Render\NcursesRenderer.h", "C++", 1, 0, 0, 1
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\Engine\Render\Renderer.h", "C++", 1, 0, 0, 1
"d:\Warehouse\Project\H-Homework\Project10-BlueAlert\main.cpp", "C++", 15, 0, 3, 18
"Total", "-", 150, 2, 27, 179
