"filename", "language", "C++", "comment", "blank", "total"
"d:\Warehouse\Project\H-Homework\Project6\Decision.cpp", "C++", 41, 0, 2, 43
"d:\Warehouse\Project\H-Homework\Project6\Decision.h", "C++", 19, 0, 8, 27
"d:\Warehouse\Project\H-Homework\Project6\Group.cpp", "C++", 110, 14, 23, 147
"d:\Warehouse\Project\H-Homework\Project6\Group.h", "C++", 30, 0, 6, 36
"d:\Warehouse\Project\H-Homework\Project6\Student.cpp", "C++", 24, 2, 5, 31
"d:\Warehouse\Project\H-Homework\Project6\Student.h", "C++", 25, 4, 5, 34
"d:\Warehouse\Project\H-Homework\Project6\StudentVector.cpp", "C++", 107, 8, 18, 133
"d:\Warehouse\Project\H-Homework\Project6\StudentVector.h", "C++", 30, 0, 9, 39
"d:\Warehouse\Project\H-Homework\Project6\Utils.cpp", "C++", 5, 0, 2, 7
"d:\Warehouse\Project\H-Homework\Project6\Utils.h", "C++", 9, 0, 4, 13
"d:\Warehouse\Project\H-Homework\Project6\Weather.cpp", "C++", 72, 7, 9, 88
"d:\Warehouse\Project\H-Homework\Project6\Weather.h", "C++", 30, 1, 6, 37
"d:\Warehouse\Project\H-Homework\Project6\World.cpp", "C++", 192, 10, 27, 229
"d:\Warehouse\Project\H-Homework\Project6\World.h", "C++", 26, 0, 5, 31
"d:\Warehouse\Project\H-Homework\Project6\main.cpp", "C++", 16, 7, 4, 27
"Total", "-", 736, 53, 133, 922
